Beginning output for all logs:
778:InfoPacket: Creating logger object 
906:Robot: State changed to: stop 
911:Robot: State changed to: stop 
912:WallMap: x 0: 0 
912:WallMap: x 1: 10 
912:WallMap: x 2: 720.0 
912:WallMap: x 3: 720.0 
912:WallMap: y 0: 0 
912:WallMap: y 1: 10 
912:WallMap: y 2: 720.0 
912:WallMap: y 3: 720.0 
916:Robot: State changed to: stop 
916:WallMap: x 0: 0 
916:WallMap: x 1: 10 
916:WallMap: x 2: 720.0 
916:WallMap: x 3: 720.0 
916:WallMap: y 0: 0 
916:WallMap: y 1: 10 
917:WallMap: y 2: 720.0 
917:WallMap: y 3: 720.0 
920:Robot: State changed to: stop 
920:WallMap: x 0: 0 
921:WallMap: x 1: 10 
921:WallMap: x 2: 720.0 
921:WallMap: x 3: 720.0 
921:WallMap: y 0: 0 
921:WallMap: y 1: 10 
921:WallMap: y 2: 720.0 
921:WallMap: y 3: 720.0 
921:WallMap: x 0: 0 
921:WallMap: x 1: 10 
922:WallMap: x 2: 720.0 
922:WallMap: x 3: 720.0 
922:WallMap: y 0: 0 
922:WallMap: y 1: 10 
922:WallMap: y 2: 720.0 
922:WallMap: y 3: 720.0 
925:Robot: State changed to: stop 
926:WallMap: x 0: 0 
926:WallMap: x 1: 10 
926:WallMap: x 2: 720.0 
926:WallMap: x 3: 720.0 
926:WallMap: y 0: 0 
927:WallMap: y 1: 10 
927:WallMap: y 2: 720.0 
927:WallMap: y 3: 720.0 
927:WallMap: x 0: 0 
927:WallMap: x 1: 10 
927:WallMap: x 2: 720.0 
928:WallMap: x 3: 720.0 
928:WallMap: y 0: 0 
928:WallMap: y 1: 10 
928:WallMap: y 2: 720.0 
928:WallMap: y 3: 720.0 
931:Robot: State changed to: stop 
932:WallMap: x 0: 0 
932:WallMap: x 1: 10 
932:WallMap: x 2: 720.0 
932:WallMap: x 3: 720.0 
932:WallMap: y 0: 0 
933:WallMap: y 1: 10 
933:WallMap: y 2: 720.0 
933:WallMap: y 3: 720.0 
933:WallMap: x 0: 0 
933:WallMap: x 1: 10 
933:WallMap: x 2: 720.0 
934:WallMap: x 3: 720.0 
934:WallMap: y 0: 0 
934:WallMap: y 1: 10 
934:WallMap: y 2: 720.0 
934:WallMap: y 3: 720.0 
934:WallMap: x 0: 0 
934:WallMap: x 1: 10 
934:WallMap: x 2: 720.0 
935:WallMap: x 3: 720.0 
935:WallMap: y 0: 0 
935:WallMap: y 1: 10 
935:WallMap: y 2: 720.0 
935:WallMap: y 3: 720.0 
938:Robot: State changed to: stop 
938:WallMap: x 0: 0 
938:WallMap: x 1: 10 
938:WallMap: x 2: 720.0 
938:WallMap: x 3: 720.0 
938:WallMap: y 0: 0 
939:WallMap: y 1: 10 
939:WallMap: y 2: 720.0 
939:WallMap: y 3: 720.0 
939:WallMap: x 0: 0 
939:WallMap: x 1: 10 
939:WallMap: x 2: 720.0 
939:WallMap: x 3: 720.0 
939:WallMap: y 0: 0 
939:WallMap: y 1: 10 
939:WallMap: y 2: 720.0 
939:WallMap: y 3: 720.0 
940:WallMap: x 0: 0 
940:WallMap: x 1: 10 
940:WallMap: x 2: 720.0 
940:WallMap: x 3: 720.0 
940:WallMap: y 0: 0 
940:WallMap: y 1: 10 
940:WallMap: y 2: 720.0 
940:WallMap: y 3: 720.0 
943:Robot: State changed to: stop 
944:WallMap: x 0: 0 
944:WallMap: x 1: 10 
944:WallMap: x 2: 720.0 
944:WallMap: x 3: 720.0 
945:WallMap: y 0: 0 
945:WallMap: y 1: 10 
945:WallMap: y 2: 720.0 
945:WallMap: y 3: 720.0 
945:WallMap: x 0: 0 
945:WallMap: x 1: 10 
945:WallMap: x 2: 720.0 
945:WallMap: x 3: 720.0 
946:WallMap: y 0: 0 
946:WallMap: y 1: 10 
946:WallMap: y 2: 720.0 
946:WallMap: y 3: 720.0 
946:WallMap: x 0: 0 
946:WallMap: x 1: 10 
946:WallMap: x 2: 720.0 
946:WallMap: x 3: 720.0 
947:WallMap: y 0: 0 
947:WallMap: y 1: 10 
947:WallMap: y 2: 720.0 
947:WallMap: y 3: 720.0 
947:WallMap: x 0: 0 
947:WallMap: x 1: 10 
947:WallMap: x 2: 720.0 
948:WallMap: x 3: 720.0 
948:WallMap: y 0: 0 
948:WallMap: y 1: 10 
948:WallMap: y 2: 720.0 
948:WallMap: y 3: 720.0 
978:Robot: State changed to: stop 
979:WallMap: x 0: 0 
979:WallMap: x 1: 10 
979:WallMap: x 2: 720.0 
979:WallMap: x 3: 720.0 
979:WallMap: y 0: 0 
980:WallMap: y 1: 10 
980:WallMap: y 2: 720.0 
