Beginning output for data packets:
3386:Communicator: (['1171493', '0', '0.00', '0.00', '0', '0', '-20.26'],) 
3909:Communicator: (['1171995', '0', '0.00', '0.00', '0', '0', '-20.78'],) 
4390:Communicator: (['1172495', '0', '0.00', '0.00', '0', '0', '-20.38'],) 
4909:Communicator: (['1172999', '0', '0.00', '0.00', '0', '0', '-19.85'],) 
5394:Communicator: (['1173501', '0', '0.00', '0.00', '0', '0', '-19.72'],) 
5889:Communicator: (['1184070', '0', '0.00', '0.00', '0', '0', '-21.51'],) 
6412:Communicator: (['1184569', '0', '0.00', '0.00', '0', '0', '-19.51'],) 
6898:Communicator: (['1185071', '0', '0.00', '0.00', '0', '0', '-20.06'],) 
7395:Communicator: (['1185575', '0', '0.00', '0.00', '0', '0', '-20.25'],) 
7937:Communicator: (['1186076', '0', '0.00', '0.00', '0', '0', '-19.33'],) 
8464:Communicator: (['1186582', '0', '0.00', '0.00', '0', '0', '-19.16'],) 
8936:Communicator: (['1187083', '0', '0.00', '0.00', '0', '0', '-18.97'],) 
9431:Communicator: (['1187591', '0', '0.00', '0.00', '0', '0', '-19.83'],) 
9926:Communicator: (['1188091', '0', '0.00', '0.00', '0', '0', '-20.05'],) 
10457:Communicator: (['1188596', '0', '0.00', '0.00', '0', '0', '-19.07'],) 
10924:Communicator: (['1189098', '0', '0.00', '0.00', '0', '0', '-16.33'],) 
11416:Communicator: (['1189602', '0', '0.00', '0.00', '0', '0', '-10.78'],) 
11922:Communicator: (['1190104', '0', '0.00', '0.00', '0', '0', '-5.96'],) 
12465:Communicator: (['1190609', '0', '0.00', '0.00', '0', '0', '-0.90'],) 
12949:Communicator: (['1191109', '0', '0.00', '0.00', '0', '0', '1.70'],) 
13442:Communicator: (['1191612', '0', '0.00', '0.00', '0', '0', '3.86'],) 
13970:Communicator: (['1192112', '0', '0.00', '0.00', '0', '0', '4.86'],) 
14480:Communicator: (['1192615', '0', '0.00', '0.00', '0', '0', '4.92'],) 
14931:Communicator: (['1193117', '0', '0.00', '0.00', '0', '0', '5.39'],) 
15511:Communicator: (['1193618', '0', '0.00', '0.00', '0', '0', '5.48'],) 
15959:Communicator: (['1194122', '0', '0.00', '0.00', '0', '0', '5.43'],) 
16465:Communicator: (['1194621', '0', '0.00', '0.00', '0', '0', '5.54'],) 
16989:Communicator: (['1195124', '0', '0.00', '0.00', '0', '0', '4.09'],) 
17458:Communicator: (['1195628', '0', '0.00', '0.00', '0', '0', '2.73'],) 
17994:Communicator: (['1196131', '0', '0.00', '0.00', '0', '0', '3.01'],) 
18518:Communicator: (['1196630', '0', '0.00', '0.00', '0', '0', '1.83'],) 
19017:Communicator: (['1197135', '0', '0.00', '0.00', '0', '0', '0.22'],) 
19491:Communicator: (['1197636', '0', '0.00', '0.00', '0', '0', '0.64'],) 
19998:Communicator: (['1198141', '0', '0.00', '0.00', '0', '0', '-0.21'],) 
20508:Communicator: (['1198641', '0', '0.00', '0.00', '0', '0', '0.06'],) 
21016:Communicator: (['1199141', '0', '0.00', '0.00', '0', '0', '0.09'],) 
21520:Communicator: (['1199648', '0', '0.00', '0.00', '0', '0', '0.22'],) 
21997:Communicator: (['1200150', '0', '0.00', '0.00', '0', '0', '0.64'],) 
22520:Communicator: (['1200650', '0', '0.00', '0.00', '0', '0', '0.73'],) 
23004:Communicator: (['1201153', '0', '0.00', '0.00', '0', '0', '0.02'],) 
23544:Communicator: (['1201655', '0', '0.00', '0.00', '0', '0', '1.10'],) 
24048:Communicator: (['1202156', '0', '0.00', '0.00', '0', '0', '0.99'],) 
24535:Communicator: (['1202661', '0', '0.00', '0.00', '0', '0', '0.15'],) 
25059:Communicator: (['1203165', '0', '0.00', '0.00', '0', '0', '1.26'],) 
25556:Communicator: (['1203670', '0', '0.00', '0.00', '0', '0', '0.98'],) 
26084:Communicator: (['1204172', '0', '0.00', '0.00', '0', '0', '1.02'],) 
26533:Communicator: (['1204677', '0', '0.00', '0.00', '0', '0', '0.54'],) 
27061:Communicator: (['1205177', '0', '0.00', '0.00', '0', '0', '0.07'],) 
27507:Communicator: (['1205677', '0', '0.00', '0.00', '0', '0', '-0.21'],) 
28017:Communicator: (['1206183', '0', '0.00', '0.00', '0', '0', '0.84'],) 
28566:Communicator: (['1206687', '0', '0.00', '0.00', '0', '0', '1.32'],) 
29065:Communicator: (['1207188', '0', '0.00', '0.00', '0', '0', '0.34'],) 
29508:Communicator: (['1207693', '0', '0.00', '0.00', '0', '0', '1.10'],) 
30051:Communicator: (['1208193', '0', '0.00', '0.00', '0', '0', '0.09'],) 
30576:Communicator: (['1208696', '0', '0.00', '0.00', '0', '0', '-0.14'],) 
31036:Communicator: (['1209202', '0', '0.00', '0.00', '0', '0', '0.07'],) 
31575:Communicator: (['1209703', '0', '0.00', '0.00', '0', '0', '0.93'],) 
32090:Communicator: (['1210208', '0', '0.00', '0.00', '0', '0', '0.71'],) 
32567:Communicator: (['1210711', '0', '0.00', '0.00', '0', '0', '0.18'],) 
33070:Communicator: (['1211217', '0', '0.00', '0.00', '0', '0', '0.12'],) 
33586:Communicator: (['1211718', '0', '0.00', '0.00', '0', '0', '0.17'],) 
34085:Communicator: (['1212223', '0', '0.00', '0.00', '0', '0', '0.13'],) 
34573:Communicator: (['1212725', '0', '0.00', '0.00', '0', '0', '0.05'],) 
35084:Communicator: (['1213225', '0', '0.00', '0.00', '0', '0', '-0.13'],) 
35629:Communicator: (['1213730', '0', '0.00', '0.00', '0', '0', '0.57'],) 
36067:Communicator: (['1214231', '0', '0.00', '0.00', '0', '0', '0.07'],) 
36564:Communicator: (['1214731', '0', '0.00', '0.00', '0', '0', '0.42'],) 
37102:Communicator: (['1215237', '0', '0.00', '0.00', '0', '0', '0.73'],) 
37622:Communicator: (['1215740', '0', '0.00', '0.00', '0', '0', '0.57'],) 
38082:Communicator: (['1216246', '0', '0.00', '0.00', '0', '0', '0.29'],) 
