Beginning text output: 
Time Stamp: 43.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 43.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 44.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 44.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 45.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 45.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 46.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 46.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 47.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 47.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 48.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 48.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 49.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 49.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 50.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 50.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 51.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 51.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 52.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 52.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 53.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 53.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 54.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 54.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 55.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 55.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 56.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 56.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 57.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 57.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 58.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 58.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 59.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 59.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 60.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 60.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 61.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 61.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 62.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 62.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 63.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 63.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 64.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 64.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 65.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 65.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 66.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 66.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 67.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 67.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 68.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 68.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 69.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 69.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 70.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 70.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 71.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 71.5, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
Time Stamp: 72.0, Current State: 0, Forward Distance: 0.0, Right Distance: 0.0, Total Left Encoder Movement: 0, Total Right Encoder Movement: 0, Rotation Angle: 90.0, Emergency Stopped: False
